Perangkat Daerah,Dokumen,Jenis rekomendasi,Paket,Jumlah,Satuan,Status,Pagu anggaran,Tanggal Pengajuan,Tanggal Pemeriksaan,Durasi Proses
Dinas Perikanan,"[{""id"":5684,""rekomendasi_id"":1556,""jenis_dokumen_id"":1,""no_surat"":""027\/135\/Diskan\/X\/2022"",""tanggal_surat"":""2022-10-31"",""file_surat"":""file_surat_permohonan\/SP_Dinas Perikanan_1667374324_.pdf"",""barcode"":null,""created_at"":""2022-11-02T15:32:04.000000Z"",""updated_at"":""2022-11-02T15:32:04.000000Z""},{""id"":5738,""rekomendasi_id"":1556,""jenis_dokumen_id"":3,""no_surat"":""027.2\/515\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-04"",""file_surat"":""file_surat_rekomendasi\/SR_Dinas_Perikanan_1556.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-dinas-perikanan-1556pdfqrcode.png"",""created_at"":""2022-11-04T10:12:20.000000Z"",""updated_at"":""2022-11-04T10:12:20.000000Z""},{""id"":5908,""rekomendasi_id"":1556,""jenis_dokumen_id"":5,""no_surat"":""027\/142\/Diskan\/XI\/2022"",""tanggal_surat"":""2022-11-04"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_Dinas Perikanan_1668054098_.pdf"",""barcode"":null,""created_at"":""2022-11-10T12:21:38.000000Z"",""updated_at"":""2022-11-10T12:21:38.000000Z""},{""id"":6020,""rekomendasi_id"":1556,""jenis_dokumen_id"":7,""no_surat"":""027.2\/515\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-16"",""file_surat"":""file_surat_pemeriksaan\/SHP_Dinas_Perikanan_1556.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-dinas-perikanan-1556pdfqrcode.png"",""created_at"":""2022-11-16T10:27:57.000000Z"",""updated_at"":""2022-11-16T10:27:57.000000Z""}]",Pengadaan Barang/Jasa,Printer,1.0,Unit,Hasil pemeriksaan terbit,3150000,2022-11-02,2022-11-16,14
Kelurahan Dasan Agung Baru,"[{""id"":5691,""rekomendasi_id"":1558,""jenis_dokumen_id"":1,""no_surat"":""109\/Kel.DSAB\/XI\/2022"",""tanggal_surat"":""2022-11-01"",""file_surat"":""file_surat_permohonan\/SP_Kelurahan Dasan Agung Baru_1667376716_.pdf"",""barcode"":null,""created_at"":""2022-11-02T16:11:56.000000Z"",""updated_at"":""2022-11-02T16:11:56.000000Z""},{""id"":5737,""rekomendasi_id"":1558,""jenis_dokumen_id"":3,""no_surat"":""027.2\/514\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-04"",""file_surat"":""file_surat_rekomendasi\/SR_Kelurahan_Dasan_Agung_Baru_1558.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-kelurahan-dasan-agung-baru-1558pdfqrcode.png"",""created_at"":""2022-11-04T10:11:16.000000Z"",""updated_at"":""2022-11-04T10:11:16.000000Z""},{""id"":5869,""rekomendasi_id"":1558,""jenis_dokumen_id"":5,""no_surat"":""115\/Kel.Dsab\/XI\/2022"",""tanggal_surat"":""2022-11-08"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_Kelurahan Dasan Agung Baru_1667967624_.pdf"",""barcode"":null,""created_at"":""2022-11-09T12:20:24.000000Z"",""updated_at"":""2022-11-09T12:20:24.000000Z""},{""id"":5881,""rekomendasi_id"":1558,""jenis_dokumen_id"":7,""no_surat"":""027.2\/514\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-09"",""file_surat"":""file_surat_pemeriksaan\/SHP_Kelurahan_Dasan_Agung_Baru_1558.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-kelurahan-dasan-agung-baru-1558pdfqrcode.png"",""created_at"":""2022-11-09T15:51:06.000000Z"",""updated_at"":""2022-11-09T15:51:06.000000Z""}]",Pengadaan Barang/Jasa,Laptop,1.0,Unit,Hasil pemeriksaan terbit,15000000,2022-11-02,2022-11-09,7
Kelurahan Dasan Agung Baru,"[{""id"":5692,""rekomendasi_id"":1559,""jenis_dokumen_id"":1,""no_surat"":""110\/Kel.DSAB\/XI\/2022"",""tanggal_surat"":""2022-11-01"",""file_surat"":""file_surat_permohonan\/SP_Kelurahan Dasan Agung Baru_1667377540_.pdf"",""barcode"":null,""created_at"":""2022-11-02T16:25:40.000000Z"",""updated_at"":""2022-11-02T16:25:40.000000Z""},{""id"":5736,""rekomendasi_id"":1559,""jenis_dokumen_id"":3,""no_surat"":""027.2\/513\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-04"",""file_surat"":""file_surat_rekomendasi\/SR_Kelurahan_Dasan_Agung_Baru_1559.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-kelurahan-dasan-agung-baru-1559pdfqrcode.png"",""created_at"":""2022-11-04T10:10:24.000000Z"",""updated_at"":""2022-11-04T10:10:24.000000Z""},{""id"":5868,""rekomendasi_id"":1559,""jenis_dokumen_id"":5,""no_surat"":""116\/Kel.Dsab\/XI\/2022"",""tanggal_surat"":""2022-11-08"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_Kelurahan Dasan Agung Baru_1667967574_.pdf"",""barcode"":null,""created_at"":""2022-11-09T12:19:34.000000Z"",""updated_at"":""2022-11-09T12:19:34.000000Z""},{""id"":5882,""rekomendasi_id"":1559,""jenis_dokumen_id"":7,""no_surat"":""027.2\/513\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-09"",""file_surat"":""file_surat_pemeriksaan\/SHP_Kelurahan_Dasan_Agung_Baru_1559.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-kelurahan-dasan-agung-baru-1559pdfqrcode.png"",""created_at"":""2022-11-09T15:51:11.000000Z"",""updated_at"":""2022-11-09T15:51:11.000000Z""}]",Pengadaan Barang/Jasa,Proyektor/LCD,1.0,Unit,Hasil pemeriksaan terbit,7000000,2022-11-02,2022-11-09,7
Kelurahan Dasan Agung Baru,"[{""id"":5693,""rekomendasi_id"":1560,""jenis_dokumen_id"":1,""no_surat"":""111\/Kel.DSAB\/XI\/2022"",""tanggal_surat"":""2022-11-01"",""file_surat"":""file_surat_permohonan\/SP_Kelurahan Dasan Agung Baru_1667377802_.pdf"",""barcode"":null,""created_at"":""2022-11-02T16:30:02.000000Z"",""updated_at"":""2022-11-02T16:30:02.000000Z""},{""id"":5735,""rekomendasi_id"":1560,""jenis_dokumen_id"":3,""no_surat"":""027.2\/512\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-04"",""file_surat"":""file_surat_rekomendasi\/SR_Kelurahan_Dasan_Agung_Baru_1560.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-kelurahan-dasan-agung-baru-1560pdfqrcode.png"",""created_at"":""2022-11-04T10:09:03.000000Z"",""updated_at"":""2022-11-04T10:09:03.000000Z""},{""id"":5867,""rekomendasi_id"":1560,""jenis_dokumen_id"":5,""no_surat"":""117\/Kel.Dsab\/XI\/2022"",""tanggal_surat"":""2022-11-08"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_Kelurahan Dasan Agung Baru_1667967522_.pdf"",""barcode"":null,""created_at"":""2022-11-09T12:18:42.000000Z"",""updated_at"":""2022-11-09T12:18:42.000000Z""},{""id"":5883,""rekomendasi_id"":1560,""jenis_dokumen_id"":7,""no_surat"":""027.2\/512\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-09"",""file_surat"":""file_surat_pemeriksaan\/SHP_Kelurahan_Dasan_Agung_Baru_1560.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-kelurahan-dasan-agung-baru-1560pdfqrcode.png"",""created_at"":""2022-11-09T15:51:17.000000Z"",""updated_at"":""2022-11-09T15:51:17.000000Z""}]",Pengadaan Barang/Jasa,Scanner,1.0,Unit,Hasil pemeriksaan terbit,5500000,2022-11-02,2022-11-09,7
Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,"[{""id"":5694,""rekomendasi_id"":1561,""jenis_dokumen_id"":1,""no_surat"":""027\/367\/DPMPTSP\/XI\/2022"",""tanggal_surat"":""2022-11-02"",""file_surat"":""file_surat_permohonan\/SP_Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu_1667868294_.pdf"",""barcode"":null,""created_at"":""2022-11-03T08:33:47.000000Z"",""updated_at"":""2022-11-08T08:44:54.000000Z""},{""id"":5817,""rekomendasi_id"":1561,""jenis_dokumen_id"":3,""no_surat"":""027.2\/541\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-08"",""file_surat"":""file_surat_rekomendasi\/SR_Dinas_Penanaman_Modal_dan_Pelayanan_Terpadu_Satu_Pintu_1561.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-dinas-penanaman-modal-dan-pelayanan-terpadu-satu-pintu-1561pdfqrcode.png"",""created_at"":""2022-11-08T10:37:53.000000Z"",""updated_at"":""2022-11-08T10:37:53.000000Z""},{""id"":6158,""rekomendasi_id"":1561,""jenis_dokumen_id"":5,""no_surat"":""027\/405\/DPMPTSP\/XI\/2022"",""tanggal_surat"":""2022-11-22"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu_1669083534_.pdf"",""barcode"":null,""created_at"":""2022-11-22T10:18:54.000000Z"",""updated_at"":""2022-11-22T10:18:54.000000Z""},{""id"":6217,""rekomendasi_id"":1561,""jenis_dokumen_id"":7,""no_surat"":""027.2\/541\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-23"",""file_surat"":""file_surat_pemeriksaan\/SHP_Dinas_Penanaman_Modal_dan_Pelayanan_Terpadu_Satu_Pintu_1561.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-dinas-penanaman-modal-dan-pelayanan-terpadu-satu-pintu-1561pdfqrcode.png"",""created_at"":""2022-11-23T15:29:50.000000Z"",""updated_at"":""2022-11-23T15:29:50.000000Z""}]",Pengadaan Barang/Jasa,Webcam,1.0,Unit,Hasil pemeriksaan terbit,4873750,2022-11-03,2022-11-23,20
Puskesmas Karang Taliwang,"[{""id"":5698,""rekomendasi_id"":1562,""jenis_dokumen_id"":1,""no_surat"":""445\/1023\/PKM.KT\/X\/2022"",""tanggal_surat"":""2022-10-31"",""file_surat"":""file_surat_permohonan\/SP_Puskesmas Karang Taliwang_1667521789_.pdf"",""barcode"":null,""created_at"":""2022-11-03T08:48:55.000000Z"",""updated_at"":""2022-11-04T08:29:49.000000Z""},{""id"":5733,""rekomendasi_id"":1562,""jenis_dokumen_id"":3,""no_surat"":""027.2\/511\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-04"",""file_surat"":""file_surat_rekomendasi\/SR_Puskesmas_Karang_Taliwang_1562.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-puskesmas-karang-taliwang-1562pdfqrcode.png"",""created_at"":""2022-11-04T10:07:15.000000Z"",""updated_at"":""2022-11-04T10:07:15.000000Z""},{""id"":6496,""rekomendasi_id"":1562,""jenis_dokumen_id"":5,""no_surat"":""445\/1270\/PKM.KT\/XII\/2022"",""tanggal_surat"":""2022-12-07"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_Puskesmas Karang Taliwang_1670375971_.pdf"",""barcode"":null,""created_at"":""2022-12-07T09:19:31.000000Z"",""updated_at"":""2022-12-07T09:19:31.000000Z""},{""id"":6599,""rekomendasi_id"":1562,""jenis_dokumen_id"":7,""no_surat"":""027.2\/511\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-12-13"",""file_surat"":""file_surat_pemeriksaan\/SHP_Puskesmas_Karang_Taliwang_1562.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httpsrekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-puskesmas-karang-taliwang-1562pdfqrcode.png"",""created_at"":""2022-12-13T09:46:33.000000Z"",""updated_at"":""2022-12-13T09:46:33.000000Z""}]",Pengadaan Barang/Jasa,PC,1.0,Unit,Hasil pemeriksaan terbit,13431000,2022-11-03,2022-12-13,40
Dinas Perikanan,"[{""id"":5702,""rekomendasi_id"":1566,""jenis_dokumen_id"":1,""no_surat"":""027\/134\/Diskan\/X\/2022"",""tanggal_surat"":""2022-10-31"",""file_surat"":""file_surat_permohonan\/SP_Dinas Perikanan_1667440256_.pdf"",""barcode"":null,""created_at"":""2022-11-03T09:50:56.000000Z"",""updated_at"":""2022-11-03T09:50:56.000000Z""},{""id"":5732,""rekomendasi_id"":1566,""jenis_dokumen_id"":3,""no_surat"":""027.2\/510\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-04"",""file_surat"":""file_surat_rekomendasi\/SR_Dinas_Perikanan_1566.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-dinas-perikanan-1566pdfqrcode.png"",""created_at"":""2022-11-04T10:06:03.000000Z"",""updated_at"":""2022-11-04T10:06:03.000000Z""},{""id"":5906,""rekomendasi_id"":1566,""jenis_dokumen_id"":5,""no_surat"":""027\/141\/Diskan\/XI\/2022"",""tanggal_surat"":""2022-11-04"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_Dinas Perikanan_1668053757_.pdf"",""barcode"":null,""created_at"":""2022-11-10T12:15:57.000000Z"",""updated_at"":""2022-11-10T12:15:57.000000Z""},{""id"":6021,""rekomendasi_id"":1566,""jenis_dokumen_id"":7,""no_surat"":""027.2\/510\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-16"",""file_surat"":""file_surat_pemeriksaan\/SHP_Dinas_Perikanan_1566.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-dinas-perikanan-1566pdfqrcode.png"",""created_at"":""2022-11-16T10:28:03.000000Z"",""updated_at"":""2022-11-16T10:28:03.000000Z""}]",Pengadaan Barang/Jasa,Printer,2.0,Unit,Hasil pemeriksaan terbit,13325000,2022-11-03,2022-11-16,13
Kecamatan Mataram,"[{""id"":5703,""rekomendasi_id"":1567,""jenis_dokumen_id"":1,""no_surat"":""900\/172.1\/CM\/XI\/2022"",""tanggal_surat"":""2022-11-02"",""file_surat"":""file_surat_permohonan\/SP_Kecamatan Mataram_1667441767_.pdf"",""barcode"":null,""created_at"":""2022-11-03T10:16:07.000000Z"",""updated_at"":""2022-11-03T10:16:07.000000Z""},{""id"":5731,""rekomendasi_id"":1567,""jenis_dokumen_id"":3,""no_surat"":""027.2\/509\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-04"",""file_surat"":""file_surat_rekomendasi\/SR_Kecamatan_Mataram_1567.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-kecamatan-mataram-1567pdfqrcode.png"",""created_at"":""2022-11-04T10:04:55.000000Z"",""updated_at"":""2022-11-04T10:04:55.000000Z""},{""id"":5972,""rekomendasi_id"":1567,""jenis_dokumen_id"":5,""no_surat"":""790\/179\/CM\/XI\/2022"",""tanggal_surat"":""2022-11-14"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_Kecamatan Mataram_1668472906_.pdf"",""barcode"":null,""created_at"":""2022-11-15T08:41:46.000000Z"",""updated_at"":""2022-11-15T08:41:46.000000Z""},{""id"":5989,""rekomendasi_id"":1567,""jenis_dokumen_id"":7,""no_surat"":""027.2\/509\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-15"",""file_surat"":""file_surat_pemeriksaan\/SHP_Kecamatan_Mataram_1567.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-kecamatan-mataram-1567pdfqrcode.png"",""created_at"":""2022-11-15T10:21:42.000000Z"",""updated_at"":""2022-11-15T10:21:42.000000Z""}]",Pengadaan Barang/Jasa,Proyektor/LCD,1.0,Unit,Hasil pemeriksaan terbit,10000000,2022-11-03,2022-11-15,12
Kecamatan Mataram,"[{""id"":5704,""rekomendasi_id"":1568,""jenis_dokumen_id"":1,""no_surat"":""900\/172.2\/CM\/XI\/2022"",""tanggal_surat"":""2022-11-02"",""file_surat"":""file_surat_permohonan\/SP_Kecamatan Mataram_1667441855_.pdf"",""barcode"":null,""created_at"":""2022-11-03T10:17:35.000000Z"",""updated_at"":""2022-11-03T10:17:35.000000Z""},{""id"":5730,""rekomendasi_id"":1568,""jenis_dokumen_id"":3,""no_surat"":""027.2\/508\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-04"",""file_surat"":""file_surat_rekomendasi\/SR_Kecamatan_Mataram_1568.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-kecamatan-mataram-1568pdfqrcode.png"",""created_at"":""2022-11-04T10:04:01.000000Z"",""updated_at"":""2022-11-04T10:04:01.000000Z""},{""id"":6410,""rekomendasi_id"":1568,""jenis_dokumen_id"":5,""no_surat"":""900\/196\/CM\/XI\/2022"",""tanggal_surat"":""2022-11-23"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_Kecamatan Mataram_1669948315_.pdf"",""barcode"":null,""created_at"":""2022-12-02T10:31:55.000000Z"",""updated_at"":""2022-12-02T10:31:55.000000Z""},{""id"":6455,""rekomendasi_id"":1568,""jenis_dokumen_id"":7,""no_surat"":""027.2\/508\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-12-06"",""file_surat"":""file_surat_pemeriksaan\/SHP_Kecamatan_Mataram_1568.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httpsrekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-kecamatan-mataram-1568pdfqrcode.png"",""created_at"":""2022-12-06T06:31:45.000000Z"",""updated_at"":""2022-12-06T06:31:45.000000Z""}]",Pengadaan Barang/Jasa,PC,4.0,Unit,Hasil pemeriksaan terbit,48400000,2022-11-03,2022-12-06,33
Kecamatan Mataram,"[{""id"":5705,""rekomendasi_id"":1569,""jenis_dokumen_id"":1,""no_surat"":""900\/172.3\/CM\/XI\/2022"",""tanggal_surat"":""2022-11-02"",""file_surat"":""file_surat_permohonan\/SP_Kecamatan Mataram_1667441959_.pdf"",""barcode"":null,""created_at"":""2022-11-03T10:19:19.000000Z"",""updated_at"":""2022-11-03T10:19:19.000000Z""},{""id"":5726,""rekomendasi_id"":1569,""jenis_dokumen_id"":3,""no_surat"":""027.2\/505\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-04"",""file_surat"":""file_surat_rekomendasi\/SR_Kecamatan_Mataram_1569.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-kecamatan-mataram-1569pdfqrcode.png"",""created_at"":""2022-11-04T10:01:15.000000Z"",""updated_at"":""2022-11-04T10:01:15.000000Z""},{""id"":6409,""rekomendasi_id"":1569,""jenis_dokumen_id"":5,""no_surat"":""900\/195\/CM\/XI\/2022"",""tanggal_surat"":""2022-11-23"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_Kecamatan Mataram_1669948273_.pdf"",""barcode"":null,""created_at"":""2022-12-02T10:31:13.000000Z"",""updated_at"":""2022-12-02T10:31:13.000000Z""},{""id"":6454,""rekomendasi_id"":1569,""jenis_dokumen_id"":7,""no_surat"":""027.2\/505\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-12-06"",""file_surat"":""file_surat_pemeriksaan\/SHP_Kecamatan_Mataram_1569.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httpsrekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-kecamatan-mataram-1569pdfqrcode.png"",""created_at"":""2022-12-06T06:31:41.000000Z"",""updated_at"":""2022-12-06T06:31:42.000000Z""}]",Pengadaan Barang/Jasa,Printer,2.0,Unit,Hasil pemeriksaan terbit,6300000,2022-11-03,2022-12-06,33
Kecamatan Mataram,"[{""id"":5707,""rekomendasi_id"":1571,""jenis_dokumen_id"":1,""no_surat"":""900\/172.4\/CM\/XI\/2022"",""tanggal_surat"":""2022-11-02"",""file_surat"":""file_surat_permohonan\/SP_Kecamatan Mataram_1667442012_.pdf"",""barcode"":null,""created_at"":""2022-11-03T10:20:12.000000Z"",""updated_at"":""2022-11-03T10:20:12.000000Z""},{""id"":5727,""rekomendasi_id"":1571,""jenis_dokumen_id"":3,""no_surat"":""027.2\/506\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-04"",""file_surat"":""file_surat_rekomendasi\/SR_Kecamatan_Mataram_1571.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-kecamatan-mataram-1571pdfqrcode.png"",""created_at"":""2022-11-04T10:02:07.000000Z"",""updated_at"":""2022-11-04T10:02:07.000000Z""},{""id"":6408,""rekomendasi_id"":1571,""jenis_dokumen_id"":5,""no_surat"":""900\/197\/CM\/XI\/2022"",""tanggal_surat"":""2022-11-23"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_Kecamatan Mataram_1669948233_.pdf"",""barcode"":null,""created_at"":""2022-12-02T10:30:33.000000Z"",""updated_at"":""2022-12-02T10:30:33.000000Z""},{""id"":6453,""rekomendasi_id"":1571,""jenis_dokumen_id"":7,""no_surat"":""027.2\/506\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-12-06"",""file_surat"":""file_surat_pemeriksaan\/SHP_Kecamatan_Mataram_1571.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httpsrekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-kecamatan-mataram-1571pdfqrcode.png"",""created_at"":""2022-12-06T06:31:37.000000Z"",""updated_at"":""2022-12-06T06:31:37.000000Z""}]",Pengadaan Barang/Jasa,Laptop,2.0,Unit,Hasil pemeriksaan terbit,30000000,2022-11-03,2022-12-06,33
Dinas Komunikasi dan Informatika,"[{""id"":5719,""rekomendasi_id"":1573,""jenis_dokumen_id"":1,""no_surat"":""027\/2896\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-03"",""file_surat"":""file_surat_permohonan\/SP_Dinas Komunikasi dan Informatika_1667526293_.PDF"",""barcode"":null,""created_at"":""2022-11-04T09:44:53.000000Z"",""updated_at"":""2022-11-04T09:44:53.000000Z""},{""id"":5816,""rekomendasi_id"":1573,""jenis_dokumen_id"":3,""no_surat"":""027.2\/540\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-08"",""file_surat"":""file_surat_rekomendasi\/SR_Dinas_Komunikasi_dan_Informatika_1573.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-dinas-komunikasi-dan-informatika-1573pdfqrcode.png"",""created_at"":""2022-11-08T10:37:34.000000Z"",""updated_at"":""2022-11-08T10:37:34.000000Z""},{""id"":5937,""rekomendasi_id"":1573,""jenis_dokumen_id"":5,""no_surat"":""027\/ 2927 \/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-11"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_Dinas Komunikasi dan Informatika_1668136025_.pdf"",""barcode"":null,""created_at"":""2022-11-11T11:07:05.000000Z"",""updated_at"":""2022-11-11T11:07:05.000000Z""},{""id"":5939,""rekomendasi_id"":1573,""jenis_dokumen_id"":7,""no_surat"":""027.2\/540\/Diskominfo\/XI\/2022"",""tanggal_surat"":""2022-11-11"",""file_surat"":""file_surat_pemeriksaan\/SHP_Dinas_Komunikasi_dan_Informatika_1573.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-dinas-komunikasi-dan-informatika-1573pdfqrcode.png"",""created_at"":""2022-11-11T15:21:53.000000Z"",""updated_at"":""2022-11-11T15:21:53.000000Z""}]",Pengadaan Barang/Jasa,Printer,1.0,Unit,Hasil pemeriksaan terbit,4107000,2022-11-04,2022-11-11,7
